cno,경매 제목,경매 내용,경매 등록 날짜,경매 종료 날자,등록 가격
9248,2016년형 쌍용 렉스턴 스포츠 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-09-19,2023-09-29,15900000
9249,2019년식 현대 그랜드 스타렉스 경매,대가족을 위한 편리한 여행을 즐기세요.,2023-10-30,2023-11-09,16250000
9250,2019년형 르노삼성 XM3 신차 경매,신차 르노삼성 XM3를 경매로 판매합니다. 혁신적인 디자인과 고급 편의 기능을 탑재한 차량입니다.,2023-10-28,2023-11-18,13300000
9252,2017년형 중고 기아 카렌스 경매,승용차의 스타일과 편의 기능을 경험하세요.,2023-09-29,2023-10-28,10100000
9253,2016년식 현대 팰리세이드 7인승 SUV 경매,7인승 SUV 현대 팰리세이드를 경매로 판매합니다. 대가족 및 모험가를 위한 완벽한 선택입니다.,2023-10-10,2023-10-28,16300000
9261,2017년형 쌍용 렉스턴 스포츠 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-10-24,2023-11-04,16400000
9262,2018년형 현대 그랜저 경매,프리미엄 세단의 품격을 경험하세요.,2023-09-30,2023-10-12,13700000
9263,2017년형 중고 쉐보레 말리부 경매,중고 쉐보레 말리부를 경매로 만나보세요. 스타일과 성능을 저렴한 가격에 누리세요.,2023-09-19,2023-10-03,12650000
9265,2018년형 쌍용 티볼리 판매,도시 주행에 최적화된 스타일리시한 차량입니다.,2023-09-30,2023-10-13,10300000
9271,2018년형 현대 그랜저 경매,프리미엄 세단의 품격을 경험하세요.,2023-10-25,2023-11-18,13450000
9272,2019년형 기아 쏘렌토 경매 중,고급 내장재와 뛰어난 주행 성능을 경험하세요.,2023-10-01,2023-10-22,16050000
